comment_id,video_id,video_title,video_channel,author,author_channel_id,comment_text,comment_length,word_count,is_reply,parent_id,like_count,reply_count,published_date,published_time,day_of_week,hour_of_day,has_emoji,has_url,is_all_caps,exclamation_count,question_count,engagement_rate,sentiment,sentiment_score,emotion,toxicity_score,spam_score
Ugw6w8zx_J3stCXUEJR4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@yohey0215,UCxzB7gdsQyxHm_PX1E6q4Uw,"ビリーまじで変わらねえな！
最高かよ。
25年前から変わらないその歌声最高👍️",39,3,False,,0,0,2026-02-10,11:35:40,Tuesday,11,True,False,False,0,0,0.0,,,,,
UgzIyxFjhc7-g3Eg2zp4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@andrewtallentyre2998,UCFHDG1PwT2urkqTeCPFK4GQ,Beautiful ❤and respect from Australia,37,5,False,,0,0,2026-02-10,16:26:27,Tuesday,16,True,False,False,0,0,0.0,,,,,
Ugx4jF9tzj2XwvCNLMt4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@sooze1969,UCXmkC7Voul2M_kDC2mLW6ug,Missed seeing the Download blimp but @Greenday didn't need it for that performance!  😜,86,14,False,,2,0,2026-02-09,22:32:56,Monday,22,True,False,False,1,0,7.218392463998267e-05,,,,,
UgwnKKSTOGU0qJznArR4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@ItsScottJones,UC4n5_KJwH7RBBBmf8SYaerQ,This was more exciting than I expected. Great short set!,56,10,False,,0,0,2026-02-09,21:33:48,Monday,21,False,False,False,1,0,0.0,,,,,
Ugwe4_W_M6lPs2m9D3p4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@shitstorm6930,UCZ6gu1b_takj02NkltC8HrA,These guys have been rocking since early 90's and no need to lip sync!!!,72,14,False,,1,0,2026-02-10,19:52:16,Tuesday,19,False,False,False,3,0,3.6091962319991336e-05,,,,,
UgxBJ0Cqh5cJ-OW0Fj14AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@feliciac.5981,UCfPXr5fGfm7mFj2m9eX4qWQ,They sounded so good!,21,4,False,,0,0,2026-02-09,21:17:27,Monday,21,False,False,False,1,0,0.0,,,,,
UgykoRUgKUCqruZ02614AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@brettkessler123,UC6BkJwMwfg5XYVD-QIci9eA,"I love this band, from the music to the lyrics to the personalities. They're the reason I put down my ""Rock Band"" guitar and picked up a real one for the first time in my life more than 15 years ago... in my 40s! Truly inspirational!

And whoever did the Closed Captioning for this clip needs to be tarred and feathered!",320,61,False,,0,0,2026-02-10,01:08:09,Tuesday,1,False,False,False,3,0,0.0,,,,,
UgzxJeBDkahK9LOdvRl4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@nighttime538,UCbrN92JTDnEO5DUt__OLphA,"He may not have said it, but we all thought it😂😂😂❤",50,11,False,,1,0,2026-02-09,21:45:25,Monday,21,True,False,False,0,0,3.6091962319991336e-05,,,,,
UgwXqw_lBjCFPW8OVEB4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@AlejandroFranceschi,UCYBXmHKeQ8WGpWspXo_LByw,NAILED IT!!!,12,2,False,,1,0,2026-02-10,02:44:53,Tuesday,2,False,False,True,3,0,3.6091962319991336e-05,,,,,
UgziaazgD84t0FYDW1p4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@APotato2025,UC6F2HWx6K4iVijB74Ebj7uA,"let's be honest, this should've been the halftime show 🤣",56,10,False,,1,0,2026-02-10,18:58:25,Tuesday,18,True,False,False,0,0,3.6091962319991336e-05,,,,,
UgyF6noKcw0SxRi6oJ14AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@andrewbintang4591,UCW5FFZE9MNwO4m16bAAWKJg,"Green Day used to play squats and sleep on people's floors, but now they're legends and play at the biggest shows in sold out stadiums 🎶",136,26,False,,1,0,2026-02-10,00:04:58,Tuesday,0,True,False,False,0,0,3.6091962319991336e-05,,,,,
Ugy7M05JxOwzCOhKG9N4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@CNNR4,UCQVgvlI6iRqjxphXS7gE9Ig,Just loved the performance and yes there is something I didn't quite understand is that why they weren't in the main Superbowl performance?,139,23,False,,2,0,2026-02-09,22:40:41,Monday,22,False,False,False,0,1,7.218392463998267e-05,,,,,
UgyIoBerXFWH6nZKD1Z4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@rachelno9229,UCjChsO7_6csEhuR5lXCS7tg,I felt like that 13 year old bullied punk brat screaming my lungs out to this in my room again. LOVE YOU FOREVER GREENDAY.,122,24,False,,2,0,2026-02-10,18:03:33,Tuesday,18,False,False,False,0,0,7.218392463998267e-05,,,,,
